loss,weight_order,prod_distance_order,time_delivery_order,lambda
9479539838,1,4,4,0.8,574882.6930256963 90926.00264710706 -36479.35889247496 71718.3389591525 15871.40284491882 -15002.057190768564 -1448.7310723545402 71474.09877457711 479.8041521055046 -25588.303032425913
9479540038,1,4,4,1.0,574882.6725391 90926.0027694573 -36479.34762407211 71718.33815174796 15871.397992539813 -15002.05664935867 -1448.7199006489795 71474.153625993 479.7987391702454 -25588.322851716424
8889261805,2,1,1,0.0,654053.0088228263 91495.75926073409 -10126.572237096456 -5033.122167413363 -759.6660480347449
8889261805,2,1,1,0.2,654053.0088931053 91495.75926115394 -10126.572285143988 -5033.122166962754 -759.6660468670589
8889261799,2,1,1,0.4,654053.0081124828 91495.75925648176 -10126.571751455596 -5033.122171954263 -759.6660598483143
8889261804,2,1,1,0.6,654053.0087915236 91495.75926054714 -10126.572215695674 -5033.122167612278 -759.6660485552176
8889261805,2,1,1,0.8,654053.0088324393 91495.75926079066 -10126.572243668455 -5033.122167351527 -759.6660478746732
8889261801,2,1,1,1.0,654053.0083854615 91495.75925811504 -10126.5719380831 -5033.122170208346 -759.6660553090961
8871986334,2,1,2,0.0,647890.214710673 91489.42290653264 -7996.539901772709 -5042.732345881677 -807.3050315181196 2787.6848632110905
8871986337,2,1,2,0.2,647890.2161427948 91489.42290891413 -7996.540468361532 -5042.73234263554 -807.3050186109202 2787.68431436964
8871986335,2,1,2,0.4,647890.2153283348 91489.42290755936 -7996.540146126517 -5042.7323444825415 -807.305025952492 2787.6846264894702
8871986334,2,1,2,0.6,647890.2149377961 91489.42290690512 -7996.539991567485 -5042.7323453677 -807.3050294743306 2787.6847761087597
8871986339,2,1,2,0.8,647890.2169210567 91489.42291021427 -7996.540776313618 -5042.732340872056 -807.3050115928546 2787.6840161592218
8871986328,2,1,2,1.0,647890.2122354556 91489.42290240654 -7996.53892239826 -5042.732351493061 -807.3050538347891 2787.685811700257
8872273720,2,1,3,0.0,647877.7249056023 91490.0359113765 -7990.774910003527 -5041.993484552823 -764.9892736545459 2790.954318108527 -109.11629925961705
8872273691,2,1,3,0.2,647877.7222026858 91490.03581170064 -7990.773694800828 -5041.993402473145 -765.0239740724536 2790.955114071885 -109.09945797924735
8872273667,2,1,3,0.4,647877.7201990958 91490.03573054734 -7990.772782866002 -5041.9933348849645 -765.0523451966861 2790.955685764725 -109.08568811809299
8872273676,2,1,3,0.6,647877.7221226437 91490.03575275968 -7990.773572966251 -5041.993348070089 -765.045412981071 2790.954996398851 -109.08904987340115
8872273718,2,1,3,0.8,647877.725064413 91490.03590005706 -7990.774955097223 -5041.993473427363 -764.9934977694808 2790.9542280373557 -109.11424820869937
8872273704,2,1,3,1.0,647877.7236022089 91490.035856275 -7990.774313199391 -5041.993438444113 -765.0085710008641 2790.9546841649194 -109.10693322103398
9084430267,2,1,4,0.0,620818.5253342553 91591.33223305008 -7461.5756148669425 -5302.2607628647875 311.60407305964844 80725.94264617389 -543.4373147214395 -28911.684948884296
9084430351,2,1,4,0.2,620818.5207844808 91591.33228639093 -7461.575780624765 -5302.260837782369 311.61617437624557 80725.95657066272 -543.4431731181257 -28911.69006483618
9084430826,2,1,4,0.4,620818.4826986439 91591.33241564587 -7461.573081160751 -5302.261171814496 311.62243690354467 80726.05186587044 -543.446118750951 -28911.724451855916
9084430640,2,1,4,0.6,620818.4946597771 91591.3323121301 -7461.573459038116 -5302.26100759397 311.59958820250677 80726.01948925597 -543.4350606907947 -28911.712689472028
9084430598,2,1,4,0.8,620818.4955995183 91591.33224866388 -7461.573225148979 -5302.260942008891 311.5785362821274 80726.01556958655 -543.4248456088748 -28911.711230785568
9084430321,2,1,4,1.0,620818.5197456857 91591.3322070825 -7461.575271256648 -5302.260768171919 311.58776383066254 80725.95689625986 -543.4293819860065 -28911.690116635444
9188881782,2,2,1,0.0,626357.2818845846 91172.2672726007 -10225.423542121649 -4887.524895097259 26995.215476400655 -860.0863461304025
9188881782,2,2,1,0.2,626357.2822541682 91172.26727526031 -10225.423709170944 -4887.524894283174 26995.21536670302 -860.086341701344
9188881778,2,2,1,0.4,626357.2842541208 91172.2672896559 -10225.424613133706 -4887.524889880914 26995.214773086136 -860.0863177380991
9188881777,2,2,1,0.6,626357.2843894785 91172.26729062923 -10225.424674316955 -4887.524889582184 26995.214732912293 -860.0863161165348
9188881780,2,2,1,0.8,626357.2833258462 91172.26728297351 -10225.424193565586 -4887.524891923746 26995.21504861677 -860.0863288598389
9188881782,2,2,1,1.0,626357.2820211585 91172.26727358355 -10225.42360385646 -4887.524894796824 26995.215435867616 -860.0863444936008
9210403112,2,2,2,0.0,616663.982621211 91146.71731429728 -7719.131341436502 -4886.838725384897 28633.524463476417 -921.7498941157086 3906.49719565589
9210403131,2,2,2,0.2,616663.9770270782 91146.71729314153 -7719.129628930157 -4886.8387281176065 28633.525583699917 -921.749937480098 3906.4988998130834
9210403112,2,2,2,0.4,616663.9825805259 91146.71731414471 -7719.13132897712 -4886.838725404416 28633.524471621724 -921.7498944316382 3906.4972080474386
9210403138,2,2,2,0.6,616663.9751366565 91146.71728598855 -7719.129050201502 -4886.838729041852 28633.525962251682 -921.749952135084 3906.499475680642
9210403116,2,2,2,0.8,616663.9811972044 91146.71730891557 -7719.130905551239 -4886.83872607957 28633.524748641776 -921.7499051518014 3906.4976294850317
9210403117,2,2,2,1.0,616663.9809272405 91146.71730789523 -7719.130822914333 -4886.838726210537 28633.524802700456 -921.7499072440822 3906.4977117325284
9210810437,2,2,3,0.0,616587.3804342404 91140.18846213055 -7691.504917155221 -4881.806842659444 28659.324110159156 -3062.347231437938 3912.1108070472155 1074.7176239190494
9210810440,2,2,3,0.2,616587.3817940216 91140.18838256452 -7691.505264548642 -4881.806763598965 28659.323983197686 -3062.377579096443 3912.1101283939925 1074.7323592866248
9210810414,2,2,3,0.4,616587.3871278054 91140.188480578 -7691.506960202253 -4881.806832680668 28659.322781681276 -3062.3496888364734 3912.108745658644 1074.7188238660835
9210810467,2,2,3,0.6,616587.3758303542 91140.18829897873 -7691.503389836894 -4881.806710392391 28659.325282027497 -3062.399449923529 3912.111755573275 1074.7429715900985
